date,value
Thu Jun 01 2017 00:00:00 GMT+0200 (CEST),7.7308427914977074
Fri Jun 02 2017 00:00:00 GMT+0200 (CEST),4.5974154064897448
Sat Jun 03 2017 00:00:00 GMT+0200 (CEST),5.8152487237472087
Sun Jun 04 2017 00:00:00 GMT+0200 (CEST),5.6558391133788973
Mon Jun 05 2017 00:00:00 GMT+0200 (CEST),7.36013551973737776
Tue Jun 06 2017 00:00:00 GMT+0200 (CEST),7.04401689008809626
Wed Jun 07 2017 00:00:00 GMT+0200 (CEST),7.6678292378783226
Thu Jun 08 2017 00:00:00 GMT+0200 (CEST),7.7308427914977074
Fri Jun 09 2017 00:00:00 GMT+0200 (CEST),3.5974154064897448
Sat Jun 10 2017 00:00:00 GMT+0200 (CEST),5.7152487237472087
Sun Jun 11 2017 00:00:00 GMT+0200 (CEST),5.6558391133788973
Mon Jun 12 2017 00:00:00 GMT+0200 (CEST),7.16013551973737776
Tue Jun 13 2017 00:00:00 GMT+0200 (CEST),7.04401689008809626
Wed Jun 14 2017 00:00:00 GMT+0200 (CEST),7.6678292378783226
Thu Jun 15 2017 00:00:00 GMT+0200 (CEST),7.5308427914977074
Fri Jun 16 2017 00:00:00 GMT+0200 (CEST),4.5974154064897448
Sat Jun 17 2017 00:00:00 GMT+0200 (CEST),5.5152487237472087
Sun Jun 18 2017 00:00:00 GMT+0200 (CEST),5.7558391133788973
Mon Jun 19 2017 00:00:00 GMT+0200 (CEST),7.26013551973737776
Tue Jun 20 2017 00:00:00 GMT+0200 (CEST),7.28401689008809626
Wed Jun 21 2017 00:00:00 GMT+0200 (CEST),7.6678292378783226
Thu Jun 22 2017 00:00:00 GMT+0200 (CEST),7.7308427914977074
Fri Jun 23 2017 00:00:00 GMT+0200 (CEST),7.5974154064897448
Sat Jun 24 2017 00:00:00 GMT+0200 (CEST),7.7152487237472087
Sun Jun 25 2017 00:00:00 GMT+0200 (CEST),7.7558391133788973
Mon Jun 26 2017 00:00:00 GMT+0200 (CEST),7.16013551973737776
Tue Jun 27 2017 00:00:00 GMT+0200 (CEST),7.04401689008809626
Wed Jun 28 2017 00:00:00 GMT+0200 (CEST),7.1678292378783226
Thu Jun 29 2017 00:00:00 GMT+0200 (CEST),7.7308427914977074
Fri Jun 30 2017 00:00:00 GMT+0200 (CEST),7.5974154064897448
